,n,m,SSE,MAX
0,7,3,15480.205,9.073
1,10,3,14253.339,9.279
2,12,3,9208.882,6.871
3,12,5,9457.253,6.136
4,14,3,8354.971,6.033
5,14,5,5098.982,4.980
6,18,3,7893.419,5.555
7,18,5,4050.741,5.191
8,18,7,1027.287,3.134
9,20,3,7814.769,5.542
10,20,5,3904.742,5.617
11,20,7,808.063,2.785
12,20,9,645.789,2.809
13,23,3,7753.034,5.532
14,23,5,3795.366,6.032
15,23,7,662.341,2.477
16,23,9,402.641,2.272
17,23,11,406.494,2.437
18,26,3,7721.708,5.526
19,26,5,3741.634,6.299
20,26,7,596.047,2.808
21,26,9,308.075,1.984
22,26,11,253.757,1.974
23,30,3,7700.135,5.522
24,30,5,3705.382,6.534
25,30,7,553.318,3.114
26,30,9,251.913,1.829
27,30,11,174.871,1.648
28,30,13,158.183,1.677
