,n,m,SSE,MAX
57,55,3,7673.474,5.513
58,55,5,3661.799,7.035
59,55,7,503.975,3.724
60,55,9,192.343,2.597
61,55,11,100.600,1.954
62,55,13,62.704,1.515
63,55,15,44.200,1.184
64,55,17,34.321,0.917
65,55,19,28.871,0.831
66,55,21,25.975,0.827
67,55,23,24.727,0.840
68,55,25,24.683,0.865
69,55,27,25.659,0.906
70,70,3,7671.605,5.511
71,70,5,3658.914,7.123
72,70,7,500.567,3.822
73,70,9,188.537,2.714
74,70,11,96.313,2.093
75,70,13,57.854,1.679
76,70,15,38.699,1.374
77,70,17,28.067,1.135
78,70,19,21.739,0.940
79,70,21,17.804,0.774
80,70,23,15.306,0.645
81,70,25,13.729,0.638
82,70,27,12.780,0.639
83,70,29,12.290,0.647
84,70,31,12.160,0.661
85,70,33,12.336,0.681
