,n,m,SSE,MAX
0,7,3,15480.204972307181,9.073014119642526
1,10,3,14253.33861145504,9.279358892669256
2,12,3,9208.881976781038,6.87101756682218
3,12,5,9457.253297076339,6.136049083144459
4,14,3,8354.970642822178,6.033257222906178
5,14,5,5098.981740569008,4.979581016506648
6,18,3,7893.418866658465,5.5549454200737225
7,18,5,4050.741240091402,5.19058041436204
8,18,7,1027.2867644757625,3.1337690592498784
9,20,3,7814.769199002922,5.542471352063176
10,20,5,3904.7417149396233,5.617160848079708
11,20,7,808.0628112243135,2.7852398275206767
12,20,9,645.7886703736865,2.8086377240773004
13,23,3,7753.033707656554,5.532269125220286
14,23,5,3795.3663005756102,6.031817553328637
15,23,7,662.3409754042364,2.4770169911767397
16,23,9,402.6410142405894,2.2717755950966363
17,23,11,406.4936183774723,2.4366601523538227
18,26,3,7721.707927956036,5.5264174384181874
19,26,5,3741.633862089234,6.299470798403292
20,26,7,596.0467206878926,2.808411282736797
21,26,9,308.07486061179526,1.9838524471134482
22,26,11,253.75699670054095,1.974275872766205
23,30,3,7700.134965382426,5.521611511335684
24,30,5,3705.3823472367067,6.533994695511799
25,30,7,553.3183126029122,3.114421120186142
26,30,9,251.9133288018621,1.8286723040628123
27,30,11,174.8714624010966,1.6480900097024471
28,30,13,158.18323438130548,1.677414921717138
29,35,3,7687.063760139304,5.518517663427132
30,35,5,3683.773640808879,6.72041702294081
31,35,7,528.6482108273924,3.349009788544532
32,35,9,221.29354253350164,2.1318655990488464
33,35,11,135.35282211228497,1.4255119041303743
34,35,13,105.10325695062288,1.3740531863391245
35,35,15,96.91428126450093,1.3982301226384775
36,35,17,101.64349303311602,1.4883258347308956
37,40,3,7680.528851483196,5.516580560200412
38,40,5,3673.109027821257,6.8421597856705025
39,40,7,516.6775246952773,3.4975917729096335
40,40,9,206.99361418425846,2.3193631697863544
41,40,11,117.8108969205593,1.6157399638221803
42,40,13,83.13895088015585,1.2055099969310605
43,40,15,68.71493301359587,1.1791527633577825
44,40,17,64.13344931199269,1.198903328354941
45,40,19,65.8238386202043,1.260405582509014
46,50,3,7674.803934362745,5.514071016345645
47,50,5,3663.90138057419,6.988471579973769
48,50,7,506.3660004211267,3.670263188262031
49,50,9,195.04894787328476,2.5326021483921304
50,50,11,103.70497232482957,1.8763081406779667
51,50,13,66.29159465989596,1.4227009661332883
52,50,15,48.36355102389303,1.0753392383143345
53,50,17,39.180132068329264,0.9265905631440536
54,50,19,34.58360273525555,0.9185862172942643
55,50,21,32.758621230604184,0.9329557354893909
56,50,23,32.89157069754997,0.9666808368806852
57,55,3,7673.473716167495,5.513193197264044
58,55,5,3661.799260702166,7.035041052225039
59,55,7,503.97546848336435,3.7235315033565426
60,55,9,192.34314474226557,2.5972385250827363
61,55,11,100.59957508786187,1.9540491244759783
62,55,13,62.70428469370669,1.515031018995216
63,55,15,44.19982841866096,1.1838928487594906
64,55,17,34.32106459700647,0.916623835528996
65,55,19,28.871323479285405,0.8313532368016654
66,55,21,25.975439312973073,0.8267226887715673
67,55,23,24.72685922058219,0.8400794071713771
68,55,25,24.682777154307914,0.864597729032361
69,55,27,25.658777250003904,0.9056682520812237
70,70,3,7671.605298103601,5.511340968674842
71,70,5,3658.9141661015547,7.123436641834822
72,70,7,500.56684264524506,3.821597226921529
73,70,9,188.53727513647925,2.7144362414477072
74,70,11,96.31259943863128,2.0933459093250457
75,70,13,57.8542159196491,1.678586118762738
76,70,15,38.69905327291665,1.373836082656611
77,70,17,28.067411743700923,1.1353354805551303
78,70,19,21.739000867650862,0.939853519149537
79,70,21,17.80394013829733,0.773714832678004
80,70,23,15.30563663479806,0.644724364176938
81,70,25,13.728556892808061,0.6379987834813272
82,70,27,12.780325587001165,0.6386337593892795
83,70,29,12.290430264102495,0.6465464728034609
84,70,31,12.16003750906035,0.6610666801218312
85,70,33,12.336271382979055,0.6808059863669548
86,100,3,7670.65621473887,5.50931269915068
87,100,5,3657.560155368462,7.203333912301547
88,100,7,498.70255262732655,3.905296087601112
89,100,9,186.47648906453867,2.8118254759399264
90,100,11,94.04745034938045,2.2069899665897834
91,100,13,55.36347283501532,1.8099466824025061
92,100,15,35.95953552617277,1.524081329156243
93,100,17,25.05410577140607,1.3055835894277135
94,100,19,18.423984462195115,1.1312808197078248
95,100,21,14.155088515460422,0.9876210709398636
96,100,23,11.285139473224348,0.8660895271044644
97,100,25,9.291124063928422,0.7610370883337237
98,100,27,7.870903300180636,0.6685503493936774
99,100,29,6.841183327821508,0.5858198171240356
100,100,31,6.086246688076478,0.5107660005687733
101,100,33,5.530618702761939,0.44180754539559286
102,100,35,5.123762513096839,0.43711286352954914
103,100,37,4.831150888970056,0.4349550960602766
104,100,39,4.628877167186047,0.43846397741581367
105,100,41,4.5003115603824195,0.4407967563289994
106,100,43,4.433984507591165,0.4480346824618794
107,100,45,4.4222339166682865,0.45683889620434615
108,100,47,4.460347947713673,0.463174230802759
109,100,49,4.546046548208224,0.480463077701235
